馬,騎手,馬番,走破時間,オッズ,通過順,着順,体重,体重変化,性,齢,斤量,上がり,人気,レース名,日付,開催,クラス,芝・ダート,距離,回り,馬場,天気,場id,場名
オメガオリーブ,横山和生,5,2:03.4,30.8,2-3-3-3,7,402,0,牝,3,54.0,36.3,3.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,芝,2000,右,稍,晴,5,中山
ブラーバック,戸崎圭太,6,2:03.5,3.5,3-4-6-6,8,470,2,牝,3,54.0,36.2,7.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,芝,2000,右,稍,晴,5,中山
ブローヴェイス,菊沢一樹,13,2:03.6,51.3,18-18-16-17,9,422,-4,牡,3,56.0,35.4,8.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,芝,2000,右,稍,晴,5,中山
スズノテレサ,三浦皇成,18,2:03.8,115.5,5-2-2-2,10,438,-6,牝,3,54.0,36.8,6.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,芝,2000,右,稍,晴,5,中山
ヨール,嶋田純次,11,2:03.9,149.1,15-15-10-10,11,434,2,牝,3,54.0,36.1,7.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,芝,2000,右,稍,晴,5,中山
ジュンバレット,永野猛蔵,15,2:03.9,509.2,11-11-14-17,12,460,0,牡,3,54.0,35.9,1.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,芝,2000,右,稍,晴,5,中山
フィアーミー,秋山稔樹,1,2:03.9,222.6,12-11-10-10,13,506,-16,牡,3,55.0,36.2,2.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,芝,2000,右,稍,晴,5,中山
エレガントモダン,宮崎北斗,3,2:03.9,279.9,17-15-16-14,14,430,0,牝,3,54.0,35.7,1.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,芝,2000,右,稍,晴,5,中山
パトリックハンサム,内田博幸,2,2:04.0,9.7,5-4-4-3,15,468,2,牡,3,56.0,36.8,7.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,芝,2000,右,稍,晴,5,中山
マクレーン,丹内祐次,14,2:04.3,272.4,9-9-10-10,16,518,0,牡,3,56.0,36.6,5.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,芝,2000,右,稍,晴,5,中山
アップフルーク,大野拓弥,10,2:04.3,331.9,8-7-7-7,17,494,-6,牡,3,56.0,36.8,6.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,芝,2000,右,稍,晴,5,中山
ヤマニンフェリクス,菅原明良,12,2:04.8,12.3,3-7-10-14,18,442,6,牡,3,56.0,37.0,,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,芝,2000,右,稍,晴,5,中山
ホウオウバリスタ,戸崎圭太,10,1:54.4,5.8,3-2-2-2,1,526,2,牡,3,56.0,38.6,4.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
ダンディジャック,田辺裕信,6,1:54.9,11.6,1-1-1-1,2,478,-4,牡,3,56.0,39.3,8.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
エクセレントマン,菅原明良,15,1:55.0,48.8,4-4-4-3,3,472,-4,牡,3,56.0,39.0,7.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
セイウンガレオン,松岡正海,12,1:55.1,2.5,12-11-7-5,4,526,0,牡,3,56.0,38.8,2.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
パーペチュイティ,内田博幸,3,1:55.1,7.9,12-13-11-8,5,584,-4,牡,3,56.0,38.4,6.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
レオプレシード,菊沢一樹,11,1:55.9,7.7,5-7-7-8,6,506,-16,牡,3,56.0,39.6,3.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
ホイットニー,丹内祐次,4,1:56.7,113.6,5-4-5-6,7,464,-14,牝,3,54.0,40.6,2.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
ペイシャガルボ,武士沢友,2,1:56.8,24.7,10-10-10-11,8,490,-2,牡,3,56.0,40.4,5.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
ピアーステソーロ,秋山稔樹,8,1:57.1,304.9,8-8-13-13,9,486,4,牡,3,55.0,39.6,4.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
オベリスク,永野猛蔵,7,1:57.1,138.7,15-14-12-12,10,474,-8,牡,3,54.0,39.7,5.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
グラフィティウォー,小林脩斗,9,1:57.1,218.4,2-2-2-4,11,452,2,牡,3,53.0,41.3,7.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
スノーディザイア,大野拓弥,13,1:57.1,7.7,8-8-7-8,12,476,0,牝,3,54.0,40.8,1.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
レッドカロス,原優介,1,1:57.2,57.4,14-14-15-14,13,512,-6,牡,3,53.0,39.4,3.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
シュヴァリエール,横山武史,5,1:57.4,9.1,5-4-5-6,14,470,2,牡,3,56.0,41.3,8.0,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
イザトナレバ,小林凌大,14,2:00.4,132.7,11-11-13-14,15,484,0,牡,3,53.0,42.8,,3歳未勝利,2022年4月2日,3回中山3日目,3歳未勝利,ダ,1800,右,重,晴,5,中山
ゴーゴーユタカ,横山武史,4,1:34.2,1.6,5-5-4,1,476,-4,牡,3,56.0,34.0,5.0,3歳1勝クラス,2022年4月2日,3回中山3日目,3歳1勝クラス,芝,1600,右,稍,晴,5,中山
モンタナアゲート,戸崎圭太,5,1:34.6,3.5,6-6-6,2,548,-6,牡,3,56.0,34.3,5.0,3歳1勝クラス,2022年4月2日,3回中山3日目,3歳1勝クラス,芝,1600,右,稍,晴,5,中山
ニシノメグレス,内田博幸,6,1:34.8,22.0,11-9-8,3,408,-2,牝,3,54.0,34.0,1.0,3歳1勝クラス,2022年4月2日,3回中山3日目,3歳1勝クラス,芝,1600,右,稍,晴,5,中山
ハッピープリベイル,丸山元気,1,1:34.9,14.0,12-12-12,4,464,-16,牡,3,56.0,33.3,8.0,3歳1勝クラス,2022年4月2日,3回中山3日目,3歳1勝クラス,芝,1600,右,稍,晴,5,中山
テラフォーミング,石橋脩,11,1:35.0,29.3,6-7-6,5,466,-2,牡,3,56.0,34.5,7.0,3歳1勝クラス,2022年4月2日,3回中山3日目,3歳1勝クラス,芝,1600,右,稍,晴,5,中山
ミツカネムーン,菅原明良,9,1:35.0,100.3,1-2-2,6,430,2,牝,3,54.0,35.4,2.0,3歳1勝クラス,2022年4月2日,3回中山3日目,3歳1勝クラス,芝,1600,右,稍,晴,5,中山
セイウンプラチナ,田辺裕信,2,1:35.0,19.9,3-3-4,7,486,-10,牡,3,56.0,35.2,6.0,3歳1勝クラス,2022年4月2日,3回中山3日目,3歳1勝クラス,芝,1600,右,稍,晴,5,中山
クイーンドライヴ,菊沢一樹,7,1:35.1,16.0,10-8-8,8,406,-2,牝,3,54.0,34.5,8.0,3歳1勝クラス,2022年4月2日,3回中山3日目,3歳1勝クラス,芝,1600,右,稍,晴,5,中山
ケッツァー,柴田大知,12,1:35.2,57.2,3-3-2,9,488,14,牡,3,56.0,35.5,3.0,3歳1勝クラス,2022年4月2日,3回中山3日目,3歳1勝クラス,芝,1600,右,稍,晴,5,中山
アランヴェリテ,津村明秀,3,1:35.5,21.2,8-10-10,10,464,-12,牡,3,56.0,34.5,7.0,3歳1勝クラス,2022年4月2日,3回中山3日目,3歳1勝クラス,芝,1600,右,稍,晴,5,中山
ボンクラージュ,横山琉人,10,1:35.6,78.9,2-1-1,11,436,0,牝,3,51.0,36.7,6.0,3歳1勝クラス,2022年4月2日,3回中山3日目,3歳1勝クラス,芝,1600,右,稍,晴,5,中山
トビイロノヒトミ,杉原誠人,8,1:36.2,365.5,8-11-11,12,436,-10,牝,3,54.0,34.9,,3歳1勝クラス,2022年4月2日,3回中山3日目,3歳1勝クラス,芝,1600,右,稍,晴,5,中山
エクセレントラン,横山琉人,8,2:35.1,2.3,7-7-5-5,1,478,0,セ,5,54.0,38.4,3.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,2400,右,重,晴,5,中山
ナスノコウラン,菅原明良,3,2:35.5,11.4,2-2-2-1,2,524,0,牡,6,57.0,39.7,6.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,2400,右,重,晴,5,中山
ヤマノマタカ,丹内祐次,6,2:35.5,6.3,4-4-2-3,3,480,-6,牡,5,57.0,39.7,5.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,2400,右,重,晴,5,中山
クロスザルビコン,田辺裕信,5,2:35.6,3.2,6-6-5-5,4,452,-4,牡,5,57.0,38.9,7.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,2400,右,重,晴,5,中山
タイガ,原優介,7,2:36.6,23.6,1-1-1-2,5,500,-4,牡,5,54.0,40.9,2.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,2400,右,重,晴,5,中山
ランドアーティスト,横山武史,2,2:36.7,4.9,2-3-4-4,6,484,-8,セ,5,57.0,40.6,4.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,2400,右,重,晴,5,中山
バルネージュ,永野猛蔵,4,2:39.5,75.9,5-5-5-7,7,506,0,セ,4,55.0,42.7,1.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,2400,右,重,晴,5,中山
ナミブ,杉原誠人,1,2:39.5,65.1,7-7-8-8,8,464,-4,セ,6,57.0,42.1,,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,2400,右,重,晴,5,中山
ダノンマデイラ,横山武史,12,1:53.2,2.3,10-10-11-10,1,468,6,牡,4,57.0,37.6,2.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
アーザムブルー,三浦皇成,2,1:53.4,39.5,12-11-11-13,2,490,4,牡,8,57.0,37.7,3.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
タイセイスラッガー,Ｍ．デム,4,1:53.5,3.4,5-5-5-3,3,526,0,牡,4,57.0,38.3,5.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
フリーフロー,丸田恭介,7,1:53.8,29.7,13-13-13-10,4,474,-4,牡,5,57.0,37.9,8.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
ブルーカルセドニー,横山和生,13,1:53.8,6.3,5-6-8-10,5,446,-4,牝,4,55.0,38.3,3.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
マイネルタイムリー,丹内祐次,3,1:53.9,22.3,4-3-3-3,6,494,2,牡,4,57.0,38.8,7.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
マイネルレンカ,柴田大知,11,1:53.9,220.6,8-6-8-5,7,470,-4,牡,8,57.0,38.4,1.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
デクスター,江田照男,1,1:54.0,90.2,1-1-1-1,8,462,-3,セ,5,57.0,39.2,4.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
ラレイナ,野中悠太,5,1:54.0,17.8,8-6-8-5,9,458,-2,牝,4,55.0,38.5,6.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
ブリッツェンシチー,内田博幸,9,1:54.7,183.0,11-11-7-5,10,522,2,セ,6,57.0,39.3,8.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
レオカクテル,木幡巧也,14,1:55.2,6.7,7-9-5-9,11,496,14,牡,4,57.0,40.0,4.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
アキノスマート,松岡正海,6,1:55.2,53.0,2-2-2-2,12,496,-4,牡,5,57.0,40.3,6.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
チェリーオリオン,小林凌大,10,1:55.7,95.5,3-3-3-5,13,506,8,牡,4,57.0,40.6,5.0,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
グリニッジシチー,石川裕紀,8,1:56.3,37.3,13-13-13-14,14,468,2,セ,6,57.0,40.4,,千葉日報杯 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,ダ,1800,右,重,晴,5,中山
アイブランコ,内田博幸,7,2:35.8,2.0,4-4-4-4,1,518,-4,牡,5,57.0,34.4,5.0,安房特別 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,芝,2500,右,良,晴,5,中山
マベルロンジュ,横山和生,5,2:36.0,4.1,6-6-5-6,2,464,0,牝,5,55.0,34.5,1.0,安房特別 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,芝,2500,右,良,晴,5,中山
イヤサカ,永野猛蔵,1,2:36.1,8.8,3-3-2-2,3,488,4,牝,4,55.0,34.8,4.0,安房特別 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,芝,2500,右,良,晴,5,中山
アスティ,丸田恭介,4,2:36.1,13.5,5-4-5-5,4,424,-4,セ,6,57.0,34.6,3.0,安房特別 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,芝,2500,右,良,晴,5,中山
ウォルフズハウル,大野拓弥,3,2:36.2,5.1,8-8-7-7,5,476,4,牡,6,57.0,34.5,6.0,安房特別 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,芝,2500,右,良,晴,5,中山
ピースディオン,江田照男,6,2:36.4,28.5,2-2-1-2,6,492,-2,牡,5,57.0,35.2,8.0,安房特別 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,芝,2500,右,良,晴,5,中山
ルヴェルソー,藤岡佑介,8,2:37.4,9.7,1-1-2-1,7,458,4,牝,5,55.0,36.2,2.0,安房特別 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,芝,2500,右,良,晴,5,中山
サイモンサーマル,野中悠太,2,2:39.4,124.8,7-6-8-8,8,504,2,セ,7,57.0,37.6,,安房特別 ,2022年4月2日,3回中山3日目,4歳以上2勝クラス,芝,2500,右,良,晴,5,中山
タイムトゥヘヴン,大野拓弥,3,1:32.3,27.4,15-14-14,1,488,4,牡,4,55.0,33.7,1.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
フォルコメン,Ｍ．デム,1,1:32.3,27.5,14-14-11,2,512,8,セ,6,54.0,33.8,5.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
ダーリントンホール,横山武史,10,1:32.5,4.3,8-6-7,3,544,6,牡,5,56.0,34.6,4.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
グラティアス,三浦皇成,8,1:32.5,5.6,5-4-3,4,498,-4,牡,4,56.0,34.9,3.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
ギルデッドミラー,石橋脩,5,1:32.7,13.9,5-9-7,5,484,-10,牝,5,53.0,34.7,1.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
インテンスライト,菊沢一樹,2,1:32.7,15.8,8-12-11,6,502,2,牡,6,54.0,34.6,6.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
カイザーミノル,横山典弘,11,1:32.8,10.4,8-6-4,7,454,-12,牡,6,56.0,35.0,7.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
ミッキーブリランテ,内田博幸,13,1:32.8,30.0,12-9-7,8,480,-2,牡,6,56.0,34.8,8.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
カテドラル,戸崎圭太,15,1:32.9,12.3,16-16-14,9,494,0,牡,6,57.0,34.1,4.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
ザダル,田辺裕信,7,1:33.0,7.5,12-13-14,10,504,2,牡,6,58.0,34.8,7.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
インターミッション,嶋田純次,14,1:33.0,91.1,8-9-11,11,418,-2,牝,5,52.0,35.0,6.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
トーラスジェミニ,原優介,12,1:33.1,99.4,2-2-2,12,468,-1,牡,6,57.5,35.7,2.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
ボンセルヴィーソ,藤懸貴志,4,1:33.3,12.9,2-4-4,13,492,-2,牡,8,56.0,35.6,8.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
ノルカソルカ,藤岡佑介,16,1:33.4,25.5,5-6-4,14,490,-8,牡,5,54.0,35.6,3.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
リフレイム,野中悠太,6,1:33.7,6.7,1-1-1,15,514,0,牝,4,53.0,36.6,5.0,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
サトノフェイバー,津村明秀,9,1:36.7,128.0,2-2-7,16,510,0,牡,7,57.0,39.4,,第54回ダービー卿チャレンジ(G3),2022年4月2日,3回中山3日目,4歳以上オープン,芝,1600,右,良,晴,5,中山
フレーズメーカー,西塚洸二,13,1:11.5,5.3,1-1,1,492,-10,牡,4,54.0,36.9,6.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
トーセンニック,横山和生,11,1:11.6,4.9,3-3,2,472,2,牡,4,57.0,36.7,3.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
ホテルカリホルニア,横山武史,5,1:11.6,3.9,5-5,3,496,0,牡,5,57.0,36.4,8.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
エレグア,松岡正海,16,1:11.9,8.4,10-8,4,490,-2,牡,4,57.0,36.3,6.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
ブレーヴトライ,田辺裕信,12,1:12.1,47.0,10-11,5,474,4,牡,4,57.0,36.4,7.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
ハッピーアナザー,丹内祐次,14,1:12.2,37.8,2-2,6,470,-6,牡,4,57.0,37.5,2.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
ヒロミ,江田照男,4,1:12.2,47.3,5-7,7,518,12,牡,7,57.0,36.9,4.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
ブロードマリー,伊藤工真,8,1:12.3,186.7,13-13,8,426,-4,牝,4,55.0,36.4,8.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
フェスティヴノンノ,永野猛蔵,15,1:12.5,71.9,5-5,9,460,-4,牝,4,53.0,37.3,1.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
ブルメンダール,戸崎圭太,2,1:12.6,8.1,8-8,10,464,-10,牡,4,57.0,37.2,1.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
サッビアマーゴ,石川裕紀,1,1:12.7,18.3,10-10,11,558,4,牡,4,57.0,37.0,2.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
タイキザモーメント,菅原明良,3,1:12.7,32.3,14-14,12,522,18,牡,5,57.0,36.7,3.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
ビーマイベイビー,杉原誠人,6,1:12.8,18.5,3-4,13,444,-2,牝,4,55.0,37.9,4.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
キョシンタンカイ,石橋脩,7,1:13.1,37.7,16-15,14,522,8,牡,5,57.0,36.8,5.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
サンメディル,小林脩斗,10,1:13.2,84.5,8-11,15,500,0,セ,5,54.0,37.7,5.0,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
ニルアドミラリ,秋山稔樹,9,1:14.1,10.4,14-15,16,562,0,牡,4,56.0,38.1,,4歳以上1勝クラス,2022年4月2日,3回中山3日目,4歳以上1勝クラス,ダ,1200,右,重,晴,5,中山
ネイリッカ,永野猛蔵,8,1:56.1,1.5,1-1-1-1,1,448,-4,牝,3,52.0,40.4,8.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1800,右,稍,雨,5,中山
テンクウノツバサ,田辺裕信,12,1:56.7,12.9,4-4-3-3,2,492,-2,牡,3,56.0,40.6,1.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1800,右,稍,雨,5,中山
ワーキングスタイル,戸崎圭太,1,1:57.1,7.9,7-8-5-5,3,446,8,牝,3,54.0,40.5,5.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1800,右,稍,雨,5,中山
イケメンプリンス,木幡巧也,5,1:57.2,158.7,12-12-12-10,4,480,-4,牡,3,56.0,39.6,6.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1800,右,稍,雨,5,中山
セイウンマリンガー,野中悠太,7,1:57.6,41.1,7-10-8-6,5,420,-2,牝,3,54.0,40.7,8.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1800,右,稍,雨,5,中山
リゼレインボー,内田博幸,11,1:57.9,7.7,2-2-2-2,6,480,-16,牡,3,56.0,42.1,5.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1800,右,稍,雨,5,中山
グルメ,菅原明良,6,1:58.3,84.6,6-6-5-7,7,546,-8,牡,3,56.0,41.6,4.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1800,右,稍,雨,5,中山
パープライト,横山和生,4,1:58.4,5.3,7-6-4-4,8,460,0,牡,3,56.0,42.0,2.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1800,右,稍,雨,5,中山
サンマルソムニア,武士沢友,2,1:58.8,60.8,11-11-10-8,9,446,0,牝,3,54.0,41.6,7.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1800,右,稍,雨,5,中山
ルーラータイム,丹内祐次,9,1:58.9,33.4,4-5-8-8,10,454,6,牝,3,54.0,42.0,7.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1800,右,稍,雨,5,中山
シュガーエンジェル,大庭和弥,10,1:59.7,354.3,7-8-10-11,11,406,0,牝,3,54.0,42.5,3.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1800,右,稍,雨,5,中山
サマーモーリス,横山琉人,3,2:04.1,122.9,3-2-5-11,12,430,10,牝,3,51.0,47.5,,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1800,右,稍,雨,5,中山
ルプランドル,永野猛蔵,16,1:11.8,2.9,2-2,1,466,0,牝,3,52.0,37.4,6.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1200,右,稍,雨,5,中山
ホワイトガーベラ,横山琉人,12,1:12.1,2.4,2-2,2,476,0,牡,3,53.0,37.8,5.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1200,右,稍,雨,5,中山
オールフラッグ,内田博幸,9,1:12.3,4.2,6-6,3,472,-6,牡,3,56.0,37.4,8.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1200,右,稍,雨,5,中山
メイリトルラバー,武藤雅,15,1:12.7,14.6,4-4,4,460,0,牝,3,54.0,38.0,6.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1200,右,稍,雨,5,中山
カフェベラノッテ,小林脩斗,11,1:13.1,135.5,1-1,5,452,-4,牡,3,53.0,38.9,1.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1200,右,稍,雨,5,中山
ロードシャマール,津村明秀,2,1:13.5,36.2,11-11,6,488,-4,牡,3,56.0,37.8,7.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1200,右,稍,雨,5,中山
ヨドノマックス,秋山真一,13,1:13.6,20.3,11-11,7,454,10,牡,3,56.0,38.0,2.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1200,右,稍,雨,5,中山
シンデレラサリサ,丹内祐次,4,1:13.7,185.6,8-8,8,454,-8,牝,3,54.0,38.5,4.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1200,右,稍,雨,5,中山
フウジンショウジョ,秋山稔樹,7,1:13.8,24.3,4-4,9,486,-6,牝,3,53.0,39.2,1.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1200,右,稍,雨,5,中山
ハッピーオーラ,大野拓弥,1,1:14.0,62.8,13-13,10,450,-16,牝,3,54.0,38.1,5.0,3歳未勝利,2022年4月3日,3回中山4日目,3歳未勝利,ダ,1200,右,稍,雨,5,中山
